"","district","school_number","school","totmem","type","total_from_race","total_white","total_black","total_hispanic","total_asian","free_reduced","per_fr"
"451","BROWARD",3661,"SUNSET LAKES ELEMENTARY SCHOOL",821,"elem",852,143,175,425,89,276,33.6175395858709
"452","BROWARD",3701,"ROCK ISLAND ELEMENTARY SCHOOL",551,"elem",527,3,495,21,2,531,96.3702359346643
"453","BROWARD",3731,"EVERGLADES HIGH SCHOOL",2425,"high",2502,203,923,1093,215,1149,47.3814432989691
"454","BROWARD",3741,"COCONUT PALM ELEMENTARY SCHOOL",928,"elem",920,99,387,329,68,456,49.1379310344828
"455","BROWARD",3751,"DOLPHIN BAY ELEMENTARY SCHOOL",694,"elem",654,59,163,333,73,322,46.3976945244957
"456","BROWARD",3761,"PARK LAKES ELEMENTARY SCHOOL",1140,"elem",1147,30,926,174,9,1078,94.5614035087719
"457","BROWARD",3771,"CHALLENGER ELEMENTARY SCHOOL",946,"elem",949,180,409,299,14,644,68.0761099365751
"458","BROWARD",3781,"PARK TRAILS ELEMENTARY SCHOOL",984,"elem",1188,777,80,217,74,154,15.650406504065
"459","BROWARD",3821,"LIBERTY ELEMENTARY SCHOOL",977,"elem",1014,143,499,300,35,747,76.4585465711361
"460","BROWARD",3841,"MANATEE BAY ELEMENTARY SCHOOL",1179,"elem",1162,362,65,617,101,168,14.2493638676845
"461","BROWARD",3851,"COLLEGE ACADEMY AT BCC",344,"high",349,120,72,107,36,92,26.7441860465116
"462","BROWARD",3861,"CORAL GLADES HIGH SCHOOL",2416,"high",2370,763,743,694,93,1308,54.1390728476821
"463","BROWARD",3871,"WESTGLADES MIDDLE SCHOOL",1440,"mid",1457,999,66,240,107,206,14.3055555555556
"464","BROWARD",3911,"NEW RENAISSANCE MIDDLE SCHOOL",1079,"mid",959,51,734,119,31,818,75.8109360518999
"465","BROWARD",3931,"GULFSTREAM MIDDLE SCHOOL",515,"mid",525,65,228,217,2,443,86.0194174757282
"466","BROWARD",3961,"HERON HEIGHTS ELEMENTARY SCHOO",1019,"elem",921,624,43,154,77,82,8.04710500490677
"467","BROWARD",3962,"DISCOVERY ELEMENTARY SCHOOL",921,"elem",975,151,577,166,36,598,64.929424538545
