MEMBERSHIP BY GRADE/RACE/GENDER BY SCHOOL,,,,,,,,,,,,,,
"SCHOOL YEAR 2014-15, SURVEY 2 as of 12/20/14",,,,,,,,,,,,,,
SCHOOL TOTALS,,,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the 
performance of individuals would not be disclosed.  Data for groups less than 10 are displayed with an asterisk (*).  
Blank cells indicate no population for that subgroup.",,,,,,,,,,,,,,
District #,District,School #,School ,Grade,White,Black or African American,Hispanic/Latino,Asian,Native Hawaiian or Other Pacific Islander,American Indian or Alaska Native,Two or More Races,Female Total,Male Total,Total
55,ST. JOHNS,7004,ST. JOHNS VIRTUAL FRANCHISE,9,16,1,2,2, , , ,14,7,21
55,ST. JOHNS,7004,ST. JOHNS VIRTUAL FRANCHISE,10,*,*,*,*,*,*,*,*,*,*
55,ST. JOHNS,7004,ST. JOHNS VIRTUAL FRANCHISE,11,16, ,2, , ,1,1,15,5,20
55,ST. JOHNS,7004,ST. JOHNS VIRTUAL FRANCHISE,12,15,1,3, , ,1, ,12,8,20
55,ST. JOHNS,7004,SCHOOL TOTALS,TOTAL,87,4,11,2, ,2,5,71,40,111
55,ST. JOHNS,7023,ST. JOHNS VIRTUAL INSTRUCTIONA,PK, , , , , , , , , , 
55,ST. JOHNS,7023,ST. JOHNS VIRTUAL INSTRUCTIONA,KG,*,*,*,*,*,*,*,*,*,*
55,ST. JOHNS,7023,ST. JOHNS VIRTUAL INSTRUCTIONA,1,*,*,*,*,*,*,*,*,*,*
55,ST. JOHNS,7023,ST. JOHNS VIRTUAL INSTRUCTIONA,2,8, ,4, , , ,1,7,6,13
55,ST. JOHNS,7023,ST. JOHNS VIRTUAL INSTRUCTIONA,3,*,*,*,*,*,*,*,*,*,*
55,ST. JOHNS,7023,ST. JOHNS VIRTUAL INSTRUCTIONA,4,9, ,1,1, , , ,6,5,11
55,ST. JOHNS,7023,ST. JOHNS VIRTUAL INSTRUCTIONA,5,*,*,*,*,*,*,*,*,*,*
55,ST. JOHNS,7023,ST. JOHNS VIRTUAL INSTRUCTIONA,6,*,*,*,*,*,*,*,*,*,*
55,ST. JOHNS,7023,ST. JOHNS VIRTUAL INSTRUCTIONA,7, , , , , , , , , , 
55,ST. JOHNS,7023,ST. JOHNS VIRTUAL INSTRUCTIONA,8, , , , , , , , , , 
55,ST. JOHNS,7023,ST. JOHNS VIRTUAL INSTRUCTIONA,9, , , , , , , , , , 
55,ST. JOHNS,7023,ST. JOHNS VIRTUAL INSTRUCTIONA,10, , , , , , , , , , 
55,ST. JOHNS,7023,ST. JOHNS VIRTUAL INSTRUCTIONA,11, , , , , , , , , , 
55,ST. JOHNS,7023,ST. JOHNS VIRTUAL INSTRUCTIONA,12, , , , , , , , , , 
55,ST. JOHNS,7023,SCHOOL TOTALS,TOTAL,47, ,10,1, , ,3,38,23,61
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,PK,6,3,10, , , ,1,9,11,20
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,KG,15,37,26, , , ,1,37,42,79
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,1,18,46,28, , , ,2,40,54,94
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,2,13,38,37, ,1, ,1,39,51,90
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,3,20,46,33, , , ,3,59,43,102
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,4,21,24,25, , ,1,2,30,43,73
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,5,24,38,33, , , ,1,42,54,96
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,6, , , , , , , , , , 
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,7, , , , , , , , , , 
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,8, , , , , , , , , , 
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,9, , , , , , , , , , 
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,10, , , , , , , , , , 
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,11, , , , , , , , , , 
56,ST. LUCIE,0031,WHITE CITY ELEMENTARY SCHOOL,12, , , , , , , , , , 
56,ST. LUCIE,0031,SCHOOL TOTALS,TOTAL,117,232,192, ,1,1,11,256,298,554
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,PK,8,7,25, , , , ,23,17,40
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,KG,15,40,54, , ,1,3,54,59,113
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,1,27,35,43,1, , ,7,64,49,113
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,2,24,42,47,1, , ,3,61,56,117
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,3,20,33,47, , , ,6,54,52,106
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,4,26,27,37, , ,1,5,42,54,96
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,5,24,30,34,2, , ,2,46,46,92
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,6, , , , , , , , , , 
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,7, , , , , , , , , , 
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,8, , , , , , , , , , 
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,9, , , , , , , , , , 
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,10, , , , , , , , , , 
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,11, , , , , , , , , , 
56,ST. LUCIE,0040,WEATHERBEE ELEMENTARY SCHOOL,12, , , , , , , , , , 
56,ST. LUCIE,0040,SCHOOL TOTALS,TOTAL,144,214,287,4, ,2,26,344,333,677
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,PK, , , , , , , , , , 
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,KG,45,27,25,1,2, ,4,57,47,104
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,1,55,21,25,3, , ,3,48,59,107
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,2,56,23,19,5, , ,4,49,58,107
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,3,45,34,26,2, , ,1,57,51,108
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,4,42,30,25,3, ,2,1,58,45,103
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,5,43,27,27,2, , ,5,58,46,104
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,6, , , , , , , , , , 
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,7, , , , , , , , , , 
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,8, , , , , , , , , , 
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,9, , , , , , , , , , 
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,10, , , , , , , , , , 
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,11, , , , , , , , , , 
56,ST. LUCIE,0041,FAIRLAWN ELEMENTARY SCHOOL,12, , , , , , , , , , 
56,ST. LUCIE,0041,SCHOOL TOTALS,TOTAL,286,162,147,16,2,2,18,327,306,633
56,ST. LUCIE,0051,FORT PIERCE MAGNET SCHOOL OF T,PK, , , , , , , , , , 
56,ST. LUCIE,0051,FORT PIERCE MAGNET SCHOOL OF T,KG,17,19,17, , , , ,29,24,53
56,ST. LUCIE,0051,FORT PIERCE MAGNET SCHOOL OF T,1,14,18,18,3, , ,3,39,17,56
56,ST. LUCIE,0051,FORT PIERCE MAGNET SCHOOL OF T,2,12,33,6, , , ,3,22,32,54
56,ST. LUCIE,0051,FORT PIERCE MAGNET SCHOOL OF T,3,8,33,9, , , ,1,18,33,51
56,ST. LUCIE,0051,FORT PIERCE MAGNET SCHOOL OF T,4,13,21,13, , , ,2,23,26,49
56,ST. LUCIE,0051,FORT PIERCE MAGNET SCHOOL OF T,5,8,20,10, , , ,1,24,15,39
56,ST. LUCIE,0051,FORT PIERCE MAGNET SCHOOL OF T,6,6,22,12, , , ,2,21,21,42
56,ST. LUCIE,0051,FORT PIERCE MAGNET SCHOOL OF T,7,7,23,11, , ,1,2,26,18,44
56,ST. LUCIE,0051,FORT PIERCE MAGNET SCHOOL OF T,8,8,25,4, , , ,1,22,16,38
56,ST. LUCIE,0051,FORT PIERCE MAGNET SCHOOL OF T,9, , , , , , , , , , 
56,ST. LUCIE,0051,FORT PIERCE MAGNET SCHOOL OF T,10, , , , , , , , , , 
56,ST. LUCIE,0051,FORT PIERCE MAGNET SCHOOL OF T,11, , , , , , , , , , 
56,ST. LUCIE,0051,FORT PIERCE MAGNET SCHOOL OF T,12, , , , , , , , , , 
56,ST. LUCIE,0051,SCHOOL TOTALS,TOTAL,93,214,100,3, ,1,15,224,202,426
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,PK,12,17,22,1, , ,1,19,34,53
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,KG,14,57,36, , , , ,53,54,107
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,1,19,60,26,1, , ,3,64,45,109
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,2,16,66,44, , , ,2,61,67,128
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,3,19,63,38,1, , ,4,55,70,125
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,4,26,39,42, , ,2,3,55,57,112
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,5,16,40,39,4, , ,1,58,42,100
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,6, , , , , , , , , , 
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,7, , , , , , , , , , 
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,8, , , , , , , , , , 
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,9, , , , , , , , , , 
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,10, , , , , , , , , , 
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,11, , , , , , , , , , 
56,ST. LUCIE,0061,LAWNWOOD ELEMENTARY SCHOOL,12, , , , , , , , , , 
56,ST. LUCIE,0061,SCHOOL TOTALS,TOTAL,122,342,247,7, ,2,14,365,369,734
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,PK,4,22,25, , , , ,19,32,51
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,KG,6,59,33, , , ,3,45,56,101
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,1,11,55,40, ,1, ,6,51,62,113
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,2,7,58,38,2, , ,5,52,58,110
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,3,7,78,43, , ,1,4,62,71,133
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,4,6,76,39, ,1,2,3,52,75,127
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,5,13,60,34, , ,1,2,58,52,110
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,6, , , , , , , , , , 
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,7, , , , , , , , , , 
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,8, , , , , , , , , , 
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,9, , , , , , , , , , 
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,10, , , , , , , , , , 
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,11, , , , , , , , , , 
56,ST. LUCIE,0071,ST. LUCIE ELEMENTARY SCHOOL,12, , , , , , , , , , 
56,ST. LUCIE,0071,SCHOOL TOTALS,TOTAL,54,408,252,2,2,4,23,339,406,745
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,PK, , , , , , , , , , 
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,KG, , , , , , , , , , 
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,1, , , , , , , , , , 
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,2, , , , , , , , , , 
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,3, , , , , , , , , , 
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,4, , , , , , , , , , 
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,5, , , , , , , , , , 
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,6,19,142,48,1, , ,6,83,133,216
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,7,17,117,34,1, ,1,7,80,97,177
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,8,21,117,45,1, ,3,2,88,101,189
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,9, , , , , , , , , , 
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,10, , , , , , , , , , 
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,11, , , , , , , , , , 
56,ST. LUCIE,0072,DAN MCCARTY MIDDLE SCHOOL,12, , , , , , , , , , 
56,ST. LUCIE,0072,SCHOOL TOTALS,TOTAL,57,376,127,3, ,4,15,251,331,582
56,ST. LUCIE,0081,FRANCES K. SWEET ELEM. SCHOOL,PK,*,*,*,*,*,*,*,*,*,*
56,ST. LUCIE,0081,FRANCES K. SWEET ELEM. SCHOOL,KG,23,57,20,2, , ,3,51,54,105
56,ST. LUCIE,0081,FRANCES K. SWEET ELEM. SCHOOL,1,29,62,9,2, , ,5,57,50,107
56,ST. LUCIE,0081,FRANCES K. SWEET ELEM. SCHOOL,2,20,60,19,3, ,1,2,41,64,105
56,ST. LUCIE,0081,FRANCES K. SWEET ELEM. SCHOOL,3,36,53,14,1, , ,1,51,54,105
56,ST. LUCIE,0081,FRANCES K. SWEET ELEM. SCHOOL,4,23,61,13,1, , ,3,50,51,101
56,ST. LUCIE,0081,FRANCES K. SWEET ELEM. SCHOOL,5,31,44,14,5, , ,2,41,55,96
56,ST. LUCIE,0081,FRANCES K. SWEET ELEM. SCHOOL,6, , , , , , , , , , 
56,ST. LUCIE,0081,FRANCES K. SWEET ELEM. SCHOOL,7, , , , , , , , , , 
56,ST. LUCIE,0081,FRANCES K. SWEET ELEM. SCHOOL,8, , , , , , , , , , 
56,ST. LUCIE,0081,FRANCES K. SWEET ELEM. SCHOOL,9, , , , , , , , , , 
56,ST. LUCIE,0081,FRANCES K. SWEET ELEM. SCHOOL,10, , , , , , , , , , 
56,ST. LUCIE,0081,FRANCES K. SWEET ELEM. SCHOOL,11, , , , , , , , , , 
56,ST. LUCIE,0081,FRANCES K. SWEET ELEM. SCHOOL,12, , , , , , , , , , 
56,ST. LUCIE,0081,SCHOOL TOTALS,TOTAL,162,339,89,14, ,1,16,292,329,621
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHL,PK,12,7,10,1, , ,1,14,17,31
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHL,KG,32,14,18,2, , ,4,31,39,70
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHL,1,32,17,16, , , ,3,30,38,68
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHL,2,28,21,29, ,2, ,7,44,43,87
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHL,3,44,15,26, , , ,6,43,48,91
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHL,4,33,32,28, , , ,3,38,58,96
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHL,5,43,19,21,2, , ,4,47,42,89
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHL,6, , , , , , , , , , 
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHL,7, , , , , , , , , , 
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHL,8, , , , , , , , , , 
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHL,9, , , , , , , , , , 
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHL,10, , , , , , , , , , 
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHL,11, , , , , , , , , , 
56,ST. LUCIE,0091,SAVANNA RIDGE ELEMENTARY SCHL,12, , , , , , , , , , 
56,ST. LUCIE,0091,SCHOOL TOTALS,TOTAL,224,125,148,5,2, ,28,247,285,532
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SC,PK,6,28,17, , , , ,24,27,51
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SC,KG,6,74,26, , , ,4,49,61,110
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SC,1,5,85,22, , , ,2,54,60,114
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SC,2,5,88,25, , , ,1,55,64,119
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SC,3,5,77,25, , ,1,1,46,63,109
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SC,4,9,69,30, ,1, , ,55,54,109
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SC,5,3,66,16, , , ,2,42,45,87
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SC,6, , , , , , , , , , 
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SC,7, , , , , , , , , , 
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SC,8, , , , , , , , , , 
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SC,9, , , , , , , , , , 
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SC,10, , , , , , , , , , 
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SC,11, , , , , , , , , , 
56,ST. LUCIE,0111,CHESTER A. MOORE ELEMENTARY SC,12, , , , , , , , , , 
56,ST. LUCIE,0111,SCHOOL TOTALS,TOTAL,39,487,161, ,1,1,10,325,374,699
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,PK, , , , , , , , , , 
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,KG, , , , , , , , , , 
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,1, , , , , , , , , , 
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,2, , , , , , , , , , 
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,3, , , , , , , , , , 
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,4, , , , , , , , , , 
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,5, , , , , , , , , , 
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,6,151,56,55,9, ,1,17,131,158,289
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,7,135,69,49,9,1,1,6,134,136,270
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,8,142,55,46,11, , ,18,131,141,272
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,9,128,54,49,22,1, ,9,148,115,263
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,10,132,68,48,9, ,1,10,138,130,268
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,11,124,60,49,14, ,2,6,146,109,255
56,ST. LUCIE,0121,LINCOLN PARK ACADEMY,12,109,46,31,19, ,1,3,101,108,209
56,ST. LUCIE,0121,SCHOOL TOTALS,TOTAL,921,408,327,93,2,6,69,929,897,"1,826"
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,PK, , , , , , , , , , 
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,KG,48,19,31,4, ,1,6,58,51,109
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,1,47,25,35,3,1, ,4,61,54,115
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,2,45,27,36,2,1,1,4,53,63,116
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,3,50,26,37,3, , ,8,66,58,124
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,4,43,30,42,1, , ,8,50,74,124
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,5,66,25,29,4, , ,5,49,80,129
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,6,70,59,64,4,1,1,10,103,106,209
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,7,91,54,68,7, , ,13,105,128,233
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,8,105,68,57,5, ,2,10,114,133,247
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,9, , , , , , , , , , 
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,10, , , , , , , , , , 
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,11, , , , , , , , , , 
56,ST. LUCIE,0131,ST. LUCIE WEST K-8 SCHOOL,12, , , , , , , , , , 
56,ST. LUCIE,0131,SCHOOL TOTALS,TOTAL,565,333,399,33,3,5,68,659,747,"1,406"
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY K-8,PK,3,7,29, , , ,1,18,22,40
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY K-8,KG,13,58,57, , , ,7,59,76,135
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY K-8,1,12,52,64, ,1,1,2,59,73,132
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY K-8,2,6,37,57, , , ,7,48,59,107
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY K-8,3,16,68,56,1, , ,5,60,86,146
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY K-8,4,12,38,58,1, ,1,2,47,65,112
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY K-8,5,10,34,44, ,1,1,4,51,43,94
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY K-8,6,28,64,65, , , ,1,80,78,158
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY K-8,7,27,67,72,2, ,1,1,87,83,170
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY K-8,8,23,58,63, , , ,2,69,77,146
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY K-8,9, , , , , , , , , , 
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY K-8,10, , , , , , , , , , 
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY K-8,11, , , , , , , , , , 
56,ST. LUCIE,0141,SAMUEL S. GAINES ACADEMY K-8,12, , , , , , , , , , 
56,ST. LUCIE,0141,SCHOOL TOTALS,TOTAL,150,483,565,4,2,4,32,578,662,"1,240"
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,PK,6,14,15,4, , ,1,16,24,40
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,KG,24,20,16, , , ,3,37,26,63
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,1,31,31,15,1, , ,3,35,46,81
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,2,24,28,24, ,1, ,5,38,44,82
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,3,33,32,23, , , ,4,41,51,92
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,4,46,26,30, , , ,2,45,59,104
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,5,34,36,21, ,1, ,3,44,51,95
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,6,38,40,30,3, , ,6,55,62,117
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,7,39,60,44,1, ,1,10,73,82,155
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,8,48,49,46,2, , ,9,75,79,154
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,9, , , , , , , , , , 
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,10, , , , , , , , , , 
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,11, , , , , , , , , , 
56,ST. LUCIE,0151,ALLAPATTAH FLATS K-8,12, , , , , , , , , , 
56,ST. LUCIE,0151,SCHOOL TOTALS,TOTAL,323,336,264,11,2,1,46,459,524,983
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOO,PK, , , , , , , , , , 
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOO,KG, , , , , , , , , , 
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOO,1, , , , , , , , , , 
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOO,2, , , , , , , , , , 
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOO,3, , , , , , , , , , 
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOO,4, , , , , , , , , , 
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOO,5, , , , , , , , , , 
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOO,6, , , , , , , , , , 
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOO,7, , , , , , , , , , 
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOO,8, , , , , , , , , , 
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOO,9,257,193,206,7,1,1,18,334,349,683
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOO,10,239,220,216,11,2,2,23,349,364,713
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOO,11,231,246,191,13,1,1,15,360,338,698
56,ST. LUCIE,0161,FORT PIERCE CENTRAL HIGH SCHOO,12,212,230,164,10, ,1,19,326,310,636
56,ST. LUCIE,0161,SCHOOL TOTALS,TOTAL,939,889,777,41,4,5,75,"1,369","1,361","2,730"
56,ST. LUCIE,0162,PERFORMANCE BASED PREPARATORY,PK, , , , , , , , , , 
56,ST. LUCIE,0162,PERFORMANCE BASED PREPARATORY,KG, , , , , , , , , , 
56,ST. LUCIE,0162,PERFORMANCE BASED PREPARATORY,1, , , , , , , , , , 
56,ST. LUCIE,0162,PERFORMANCE BASED PREPARATORY,2, , , , , , , , , , 
56,ST. LUCIE,0162,PERFORMANCE BASED PREPARATORY,3, , , , , , , , , , 
56,ST. LUCIE,0162,PERFORMANCE BASED PREPARATORY,4, , , , , , , , , , 
56,ST. LUCIE,0162,PERFORMANCE BASED PREPARATORY,5, , , , , , , , , , 
56,ST. LUCIE,0162,PERFORMANCE BASED PREPARATORY,6, , , , , , , , , , 
56,ST. LUCIE,0162,PERFORMANCE BASED PREPARATORY,7, , , , , , , , , , 
56,ST. LUCIE,0162,PERFORMANCE BASED PREPARATORY,8, , , , , , , , , , 
56,ST. LUCIE,0162,PERFORMANCE BASED PREPARATORY,9,*,*,*,*,*,*,*,*,*,*
56,ST. LUCIE,0162,PERFORMANCE BASED PREPARATORY,10,6,19,2, , , ,1,12,16,28
