MEMBERSHIP BY GRADE BY SCHOOL,,,,,,,,,,,,,,,,,,
"SCHOOL YEAR 2014-15, SURVEY 2 as of 12/21/14",,,,,,,,,,,,,,,,,,
SCHOOL TOTALS,,,,,,,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the 
performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).  Blank cells indicate no population for that subgroup.",,,,,,,,,,,,,,,,,,
40,MADISON,0091,GREENVILLE ELEMENTARY SCHOOL,10,26,25,17,18,31,20, , , , , , , ,147
40,MADISON,0101,LEE ELEMENTARY SCHOOL,18,38,41,55,38,47,29, , , , , , , ,266
40,MADISON,0111,PINETTA ELEMENTARY SCHOOL,6,37,40,36,26,20,37, , , , , , , ,202
40,MADISON,0121,JAMES MADISON PREPARATORY CHAR, , , , , , , , , , ,43,42, , ,85
40,MADISON,0900,TWIN OAKS ACADEMY, , , , , , , ,2,3,7,14,8,4, ,38
40,MADISON,0925,JOANN BRIDGE ACADEMY, , , , , , , ,1,4,4,9,3,1,1,23
40,MADISON,0950,MADISON COUNTY EXCEL ALTERNATI, , , , , , , ,4,2,4,12,11,4, ,37
40,MADISON,7001,MADISON VIRTUAL INSTRUCTION PR, , , , , , , ,13,9,6,3,3,2,2,38
41,MANATEE,0031,ANNA MARIA ELEMENTARY SCHOOL,2,43,45,46,54,44,37, , , , , , , ,271
41,MANATEE,0051,BALLARD ELEMENTARY SCHOOL,17,78,81,81,94,66,70, , , , , , , ,487
41,MANATEE,0061,BAYSHORE ELEMENTARY SCHOOL,59,124,111,153,134,100,108, , , , , , , ,789
41,MANATEE,0072,BAYSHORE HIGH SCHOOL, , , , , , , , , , ,413,382,334,359,"1,488"
41,MANATEE,0091,DUETTE ELEMENTARY SCHOOL, ,2,2,4,1,5,2, , , , , , , ,16
41,MANATEE,0151,MANATEE ELEMENTARY SCHOOL,34,69,94,77,106,57,77, , , , , , , ,514
41,MANATEE,0181,MANATEE HIGH SCHOOL, , , , , , , , , , ,621,646,619,523,"2,409"
41,MANATEE,0212,CENTRAL HIGH SCHOOL,52, , , , , , , ,5,49,8,9,17,17,157
41,MANATEE,0221,JESSIE P. MILLER ELEM. SCHOOL,62,133,130,135,120,118,130, , , , , , , ,828
41,MANATEE,0231,MYAKKA CITY ELEMENTARY SCHOOL, ,38,33,37,66,29,43, , , , , , , ,246
41,MANATEE,0261,ONECO ELEMENTARY SCHOOL,52,79,88,83,95,68,64, , , , , , , ,529
41,MANATEE,0271,ORANGE RIDGE-BULLOCK ELEM.,51,101,125,114,129,92,105, , , , , , , ,717
41,MANATEE,0281,PALM VIEW ELEMENTARY SCHOOL,29,56,60,59,78,48,55, , , , , , , ,385
41,MANATEE,0291,PALMA SOLA ELEMENTARY SCHOOL,31,81,81,83,111,96,88, , , , , , , ,571
41,MANATEE,0301,PALMETTO ELEMENTARY SCHOOL,36,96,103,124,134,81,101, , , , , , , ,675
41,MANATEE,0351,PALMETTO HIGH SCHOOL, , , , , , , , , , ,577,594,473,431,"2,075"
41,MANATEE,0381,ROBERT H. PRINE ELEM. SCHOOL,2,129,132,163,168,125,133, , , , , , , ,852
41,MANATEE,0411,BLANCHE H. DAUGHTREY ELEMENTAR,23,127,108,140,145,114,109, , , , , , , ,766
41,MANATEE,0421,SAMOSET ELEMENTARY SCHOOL,1,73,88,90,120,74,83, , , , , , , ,529
41,MANATEE,0431,SOUTHEAST HIGH SCHOOL, , , , , , , , , , ,436,409,307,303,"1,455"
41,MANATEE,0491,LINCOLN MIDDLE SCHOOL, , , , , , , ,149,189,188, , , , ,526
41,MANATEE,0521,JAMES TILLMAN ELEMENTARY MAGNE,57,79,89,75,99,72,85, , , , , , , ,556
41,MANATEE,0541,BLACKBURN ELEMENTARY SCHOOL,37,63,71,79,77,55,58, , , , , , , ,440
41,MANATEE,0571,FRANCES WAKELAND ELEMENTARY SC,72,88,85,81,87,66,68, , , , , , , ,547
41,MANATEE,0581,W. D. SUGG MIDDLE SCHOOL, , , , , , , ,262,235,274, , , , ,771
41,MANATEE,0591,SARA SCOTT HARLLEE MIDDLE SCHL, , , , , , , ,133,139,131, , , , ,403
41,MANATEE,0601,H. S. MOODY ELEMENTARY SCHOOL, ,98,102,111,142,91,105, , , , , , , ,649
41,MANATEE,0611,MARTHA B. KING MIDDLE SCHOOL, , , , , , , ,390,341,406, , , , ,"1,137"
41,MANATEE,0621,FLORINE J ABEL ELEMENTARY SCHO,37,91,74,107,97,79,69, , , , , , , ,554
41,MANATEE,0631,IDA M. STEWART ELEMENTARY SCHL,3,60,53,67,79,86,73, , , , , , , ,421
41,MANATEE,0641,WILLIAM H. BASHAW ELEMENTARY,20,73,88,105,103,115,117, , , , , , , ,621
41,MANATEE,0651,BRADEN RIVER ELEMENTARY SCHOOL,34,103,105,99,109,106,116, , , , , , , ,672
41,MANATEE,0652,BRADEN RIVER MIDDLE SCHOOL, , , , , , , ,291,315,371, , , , ,977
41,MANATEE,0671,SEA BREEZE ELEMENTARY SCHOOL,40,99,107,96,98,97,100, , , , , , , ,637
41,MANATEE,0681,TARA ELEMENTARY SCHOOL,35,70,89,104,107,107,94, , , , , , , ,606
41,MANATEE,0691,LOUISE R. JOHNSON MIDDLE SCHL, , , , , , , ,171,143,176, , , , ,490
41,MANATEE,0701,GENE WITT ELEMENTARY SCHOOL,77,84,90,103,117,121,98, , , , , , , ,690
41,MANATEE,0711,CARLOS E. HAILE MIDDLE SCHOOL, , , , , , , ,358,381,329, , , , ,"1,068"
41,MANATEE,0721,LAKEWOOD RANCH HIGH SCHOOL,2, , , , , , , , , ,639,623,532,502,"2,298"
41,MANATEE,0731,HORIZONS ACADEMY, , , , ,3,2,4,4,16,60,24,29,110,82,334
41,MANATEE,0741,KINNAN ELEMENTARY SCHOOL,35,110,103,99,126,90,93, , , , , , , ,656
41,MANATEE,0752,R. DAN NOLAN MIDDLE SCHOOL, , , , , , , ,369,399,362, , , , ,"1,130"
41,MANATEE,0761,ELECTA LEE MAGNET MIDDLE, , , , , , , ,344,366,325, , , , ,"1,035"
41,MANATEE,0762,BRADEN RIVER HIGH SCHOOL, , , , , , , , , , ,537,533,429,500,"1,999"
41,MANATEE,0771,GILBERT W MCNEAL ELEM SCHOOL,25,107,114,112,140,144,127, , , , , , , ,769
41,MANATEE,0781,FREEDOM ELEMENTARY SCHOOL,50,114,115,133,133,136,115, , , , , , , ,796
41,MANATEE,0791,VIRGIL MILLS ELEMENTARY SCHOOL,61,143,195,198,178,213,172, , , , , , , ,"1,160"
41,MANATEE,0801,ROBERT WILLIS ELEMENTARY SCHOO,6,133,122,115,144,92,117, , , , , , , ,729
41,MANATEE,0811,ANNIE LUCY WILLIAMS ELEMENTARY,37,150,155,161,137,142,129, , , , , , , ,911
41,MANATEE,0821,B.D. GULLETT ELEMENTARY SCHOOL,39,114,114,107,104,97,98, , , , , , , ,673
41,MANATEE,0831,G.D. ROGERS GARDEN ELEMENTARY,79,44,38,38,44,15,24, , , , , , , ,282
41,MANATEE,0842,BUFFALO CREEK MIDDLE SCHOOL, , , , , , , ,347,376,379, , , , ,"1,102"
41,MANATEE,2003,EASTER SEALS, , , , , , , , , , , ,1,1,22,24
41,MANATEE,2004,PACE CENTER FOR GIRLS, , , , , , , , ,5,15,7,14,9,3,53
41,MANATEE,2007,JUST FOR GIRLS, , , , , , , ,6,22,18, , , , ,46
41,MANATEE,2011,ACCESS TO EDUCATION, , , , , ,2,1,6,4,3,8,4,5,7,40
41,MANATEE,2014,"PINNACLE ACADEMY, INC.",12, , , , , , , , , , , , , ,12
41,MANATEE,2051,JUVENILE DETENTION CENTER, , , , , , , ,1,1,6,10,5,4,1,28
41,MANATEE,2053,HOSPITAL HOMEBOUND INSTRUCTION,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
41,MANATEE,2056,PALMSHORES BEHAVIOR HEALTH CEN, ,1, ,1,2,2,6,12,7,9,11,12,3,1,67
41,MANATEE,2063,PALMETTO YOUTH ACADEMY, , , , , , , , , ,5,17,17,3,4,46
41,MANATEE,2066,MANATEE COMMUNITY ACTION AGENC,27, , , , , , , , , , , , , ,27
41,MANATEE,2068,THE PORT ACADEMY, , , , , , , , , ,4,4,4,3, ,15
41,MANATEE,2101,MANATEE SCHL OF ARTS/SCIENCES, ,18,12,24,21,17,25,17, , , , , , ,134
41,MANATEE,2102,TEAM SUCCESS A SCHOOL OF EXCEL, ,57,53,48,54,42,41,38,33,24, , , , ,390
41,MANATEE,2104,MANATEE SCHOOL FOR THE ARTS, , , , , , , ,306,340,338,232,194,174,151,"1,735"
41,MANATEE,2121,MANATEE CHARTER SCHOOL, ,106,103,110,94,87,84,69,50,39, , , , ,742
41,MANATEE,2122,OASIS MIDDLE SCHOOL, , , , , , , ,36,41,35, , , , ,112
41,MANATEE,2123,IMAGINE CHARTER SCHOOL AT NORT,45,61,74,69,69,57,65,31,31,19, , , , ,521
41,MANATEE,2124,IMAGINE CHARTER AT LAKEWOOD RA,31,39,35,45,52,36,45,32,42,53, , , , ,410
41,MANATEE,2131,PALMETTO CHARTER SCHOOL, ,36,36,35,37,43,44,45,44,44, , , , ,364
41,MANATEE,2141,STATE COLLEGE OF FLORIDA COLLE, , , , , , , ,66,66,65,70,72,109,50,498
41,MANATEE,2151,JUST FOR GIRLS ACADEMY, ,12,19,17,21,18,18, , , , , , , ,105
41,MANATEE,2161,VISIBLE MEN ACADEMY, ,25,25,19,18,12, , , , , , , , ,99
41,MANATEE,2171,WILLIAM MONROE ROWLETT ACADEMY, ,164,159,148,161,141,126, , , , , , , ,899
41,MANATEE,7001,MANATEE VIRTUAL INSTRUCTION PR, ,1,1,2,3,2,1, , , , , , , ,10
41,MANATEE,7004,MANATEE VIRTUAL FRANCHISE, ,1,2, ,6,2,8,5,7,5,5,7,7,13,68
42,MARION,0051,HOWARD MIDDLE SCHOOL, , , , , , , ,401,428,397, , , , ,"1,226"
42,MARION,0071,ANTHONY ELEMENTARY SCHOOL,19,56,43,66,69,52,48, , , , , , , ,353
42,MARION,0091,BELLEVIEW ELEMENTARY SCHOOL,36,99,118,100,110,97,102, , , , , , , ,662
42,MARION,0101,BELLEVIEW-SANTOS ELEM. SCHOOL,19,75,74,82,113,90,85, , , , , , , ,538
42,MARION,0162,REDDICK-COLLIER ELEM. SCHOOL,26,41,46,53,59,57,57, , , , , , , ,339
42,MARION,0172,DUNNELLON MIDDLE SCHOOL, , , , , , , ,214,216,217, , , , ,647
42,MARION,0181,EAST MARION ELEMENTARY SCHOOL,40,102,88,99,122,101,108, , , , , , , ,660
42,MARION,0191,EIGHTH STREET ELEMENTARY SCHL, ,63,59,51,62,61,48, , , , , , , ,344
42,MARION,0211,FESSENDEN ELEMENTARY SCHOOL,20,80,77,80,84,66,92, , , , , , , ,499
42,MARION,0221,FT. KING MIDDLE SCHOOL, , , , , , , ,331,360,370, , , , ,"1,061"
42,MARION,0251,WARD-HIGHLANDS ELEMENTARY SCHL,9,143,131,132,145,127,125, , , , , , , ,812
42,MARION,0281,LAKE WEIR MIDDLE SCHOOL, , , , , , , ,406,438,455, , , , ,"1,299"
42,MARION,0291,MADISON ST ACAD OF VISUAL PERF, ,72,72,63,62,65,67, , , , , , , ,401
42,MARION,0311,DR N H JONES ELEMENTARY SCHOOL, ,108,108,108,108,110,110, , , , , , , ,652
42,MARION,0331,NORTH MARION HIGH SCHOOL, , , , , , , , , , ,351,326,334,301,"1,312"
42,MARION,0341,OAKCREST ELEMENTARY SCHOOL,20,133,140,127,155,129,103, , , , , , , ,807
42,MARION,0351,FOREST HIGH SCHOOL, , , , , , , , , , ,540,543,535,489,"2,107"
42,MARION,0361,OSCEOLA MIDDLE SCHOOL, , , , , , , ,304,272,337, , , , ,913
42,MARION,0381,SPARR ELEMENTARY SCHOOL,26,44,52,52,58,63,51, , , , , , , ,346
42,MARION,0391,SOUTH OCALA ELEMENTARY SCHOOL,32,133,104,104,125,90,97, , , , , , , ,685
42,MARION,0401,STANTON-WEIRSDALE ELEMENTARY,40,72,94,84,79,79,75, , , , , , , ,523
42,MARION,0431,WYOMINA PARK ELEMENTARY SCHOOL,31,118,113,122,102,91,81, , , , , , , ,658
42,MARION,0461,VANGUARD HIGH SCHOOL, , , , , , , , , , ,462,433,395,430,"1,720"
42,MARION,0471,HILLCREST, , , , , , , ,15,13,20,23,24,18,71,184
42,MARION,0491,NORTH MARION MIDDLE SCHOOL, , , , , , , ,238,270,274, , , , ,782
42,MARION,0501,LAKE WEIR HIGH SCHOOL, , , , , , , , , , ,400,447,402,419,"1,668"
42,MARION,0521,DUNNELLON HIGH SCHOOL, , , , , , , , , , ,294,290,258,257,"1,099"
42,MARION,0531,FT. MCCOY SCHOOL,25,65,67,77,94,84,78,145,152,170, , , , ,957
42,MARION,0541,OCALA SPRINGS ELEMENTARY SCHOO,31,109,106,121,100,91,96, , , , , , , ,654
42,MARION,0551,SHADY HILL ELEMENTARY SCHOOL, ,103,106,102,119,100,114, , , , , , , ,644
42,MARION,0561,EMERALD SHORES ELEMENTARY SCHL,36,106,100,107,116,103,90, , , , , , , ,658
42,MARION,0571,SUNRISE ELEMENTARY SCHOOL,40,143,174,144,153,156, , , , , , , , ,810
42,MARION,0581,EVERGREEN ELEMENTARY SCHOOL,29,86,96,80,103,66,89, , , , , , , ,549
42,MARION,0591,HARBOUR VIEW ELEMENTARY SCHOOL,39,110,137,115,151,104,135, , , , , , , ,791
42,MARION,0611,MAPLEWOOD ELEMENTARY SCHOOL,37,114,115,113,120,96,114, , , , , , , ,709
42,MARION,0621,ROMEO ELEMENTARY SCHOOL,20,102,118,133,133,108,111, , , , , , , ,725
42,MARION,0631,BELLEVIEW MIDDLE SCHOOL, , , , , , , ,315,301,354, , , , ,970
42,MARION,0641,DUNNELLON ELEMENTARY SCHOOL,42,88,92,117,125,128,110, , , , , , , ,702
42,MARION,0651,COLLEGE PARK ELEMENTARY SCHOOL,53,119,125,114,140,112,101, , , , , , , ,764
42,MARION,0661,BELLEVIEW HIGH SCHOOL, , , , , , , , , , ,447,444,366,350,"1,607"
42,MARION,0671,GREENWAY ELEMENTARY SCHOOL,39,98,122,113,118,124,109, , , , , , , ,723
42,MARION,0681,SADDLEWOOD ELEMENTARY SCHOOL,22,152,135,153,156,151,132, , , , , , , ,901
42,MARION,0691,LIBERTY MIDDLE SCHOOL, , , , , , , ,358,344,407, , , , ,"1,109"
42,MARION,0701,WEST PORT HIGH SCHOOL, , , , , , , , , , ,646,682,654,628,"2,610"
42,MARION,0711,HAMMETT BOWEN JR. ELEMENTARY S, ,99,133,121,145,128,120, , , , , , , ,746
42,MARION,0721,HORIZON ACADEMY AT MARION OAKS, , , , , , ,110,210,202,244, , , , ,766
42,MARION,0731,MARION OAKS ELEMENTARY SCHOOL,54,131,108,136,157,137,114, , , , , , , ,837
42,MARION,0741,LEGACY ELEMENTARY SCHOOL,8,103,110,92,122,100,87, , , , , , , ,622
42,MARION,7004,MARION VIRTUAL FRANCHISE, , , , , , , ,6,2,5,3,7,10,37,70
42,MARION,7023,MARION ELEARNING, ,6,3,2,6,6,4, , , , , , , ,27
42,MARION,9346,STUDENT SERVICES/ESE, ,1,1, ,2, ,2,1,2,6,3,4,2,2,26
42,MARION,9401,MARION TECHNICAL INSTITUTE,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
42,MARION,9412,COMMUNITY TECH & ADULT ED. CTR,8, , , , , , , , ,2,1,3,3,3,20
42,MARION,9618,SILVER RIVER MENTORING AND INS, , , , , , , ,1,14,87,18,19,23,19,181
42,MARION,9670,MARION CHARTER SCHOOL, ,39,33,34,38,25,22, , , , , , , ,191
42,MARION,9680,MCINTOSH AREA SCHOOL, ,12,14,13,16,17,17, , , , , , , ,89
42,MARION,9690,FRANCIS MARION MILITARY ACADEM, , , , , , , , , , ,35,36,19,21,111
42,MARION,9695,FRANCIS MARION CHARTER SCHOOL, , , , , , , ,40,24,20, , , , ,84
42,MARION,9721,MARION YOUTH ACADEMY, , , , , , , ,1,9,10,8,12,1,1,42
42,MARION,9722,MARION REG. JUVENILE DET. CTR, , , , , , , ,1,2,3,6,13,2,2,29
42,MARION,9724,MCSO JUVENILES, , , , , , ,1,1,2,2,6,7,2,2,23
42,MARION,9727,ARC BIRTH-22,32, , , , , , , , , , , , , ,32
42,MARION,9731,KINGSBURY ACADEMY, , ,4,2,4,10,8,8,12,43,5,20,14,16,146
42,MARION,9733,PREK SPEECH AND LANGUAGE STUDE,56, , , , , , , , , , , , , ,56
42,MARION,9734,"PACE CENTER FOR GIRLS, INC.", , , , , , , ,2,2,15,11,20,9,4,63
42,MARION,9736,CATAPULT ACADEMY, , , , , , , , , , , ,3,19,138,160
42,MARION,9737,MCSO ADULTS, , , , , , , , , ,3,1,1,1,4,10
43,MARTIN,0021,STUART MIDDLE SCHOOL, , , , , , , ,318,318,304, , , , ,940
43,MARTIN,0025,SEA WIND ELEMENTARY SCHOOL, ,123,114,104,135,111,117, , , , , , , ,704
43,MARTIN,0031,MARTIN COUNTY HIGH SCHOOL, , , , , , , , , , ,595,569,523,442,"2,129"
43,MARTIN,0051,J. D. PARKER SCHOOL OF TECHNOL,11,112,141,105,110,95,83, , , , , , , ,657
43,MARTIN,0061,PALM CITY ELEMENTARY SCHOOL,3,93,89,97,112,131,143, , , , , , , ,668
43,MARTIN,0069,INFANT-TODDLERS EXCEPTIONAL ED,10, , , , , , , , , , , , , ,10
43,MARTIN,0070,RIVERBEND ACADEMY, , , ,2,6,2,7,5,13,23,23,17,15,5,118
43,MARTIN,0071,ESE HOMEBOUND,1, ,4, ,2,1, ,1,1,2, ,1, ,2,15
43,MARTIN,0073,SPECTRUM JUNIOR/SENIOR HIGH SC, , , , , , , ,3,2,11,29,8,3,3,59
43,MARTIN,0080,PROJECT SEARCH, , , , , , , , , , , , , ,10,10
43,MARTIN,0081,MURRAY MIDDLE SCHOOL, , , , , , , ,248,279,244, , , , ,771
43,MARTIN,0101,PORT SALERNO ELEMENTARY SCHOOL, ,126,146,154,160,117,99, , , , , , , ,802
43,MARTIN,0111,HOBE SOUND ELEMENTARY SCHOOL,6,109,108,111,100,106,98, , , , , , , ,638
43,MARTIN,0131,WARFIELD ELEMENTARY SCHOOL,6,145,157,167,150,110, , , , , , , , ,735
43,MARTIN,0133,TEEN PARENT INDIANTOWN,11, , , , , , , , , , , , , ,11
43,MARTIN,0211,JENSEN BEACH ELEMENTARY SCHOOL,9,109,113,96,97,103,88, , , , , , , ,615
43,MARTIN,0221,INDIANTOWN MIDDLE SCHOOL, , , , , , ,124,141,132,117, , , , ,514
43,MARTIN,0241,SOUTH FORK HIGH SCHOOL, , , , , , , , , , ,533,534,451,420,"1,938"
43,MARTIN,0291,PINEWOOD ELEMENTARY SCHOOL, ,143,133,121,132,119,131, , , , , , , ,779
43,MARTIN,0294,CHALLENGER SCHOOL, , , , ,3,1,3,2,2,3,4,6,2,9,35
43,MARTIN,0301,CRYSTAL LAKE ELEMENTARY SCHOOL,7,90,92,84,105,119,101, , , , , , , ,598
43,MARTIN,0321,HIDDEN OAKS MIDDLE SCHOOL, , , , , , , ,327,341,364, , , , ,"1,032"
43,MARTIN,0331,BESSEY CREEK ELEMENTARY SCHOOL, ,75,106,92,83,91,105, , , , , , , ,552
43,MARTIN,0341,FELIX A WILLIAMS ELEM SCHOOL, ,99,104,121,111,114,127, , , , , , , ,676
43,MARTIN,0351,JENSEN BEACH HIGH SCHOOL, , , , , , , , , , ,482,426,442,444,"1,794"
43,MARTIN,0361,DR. DAVID L. ANDERSON MIDDLE S, , , , , , , ,282,348,319, , , , ,949
43,MARTIN,0371,CITRUS GROVE ELEMENTARY, ,92,90,96,115,109,109, , , , , , , ,611
43,MARTIN,0400,CLARK ADVANCED LEARNING CENTER, , , , , , , , , , , ,71,86,91,248
43,MARTIN,0410,THE HOPE CHARTER CENTER FOR AU,8,12,4,8, , , , , , , , , , ,32
43,MARTIN,5003,PREKINDERGARTEN PROGRAMS,263, , , , , , , , , , , , , ,263
43,MARTIN,5004,PK EARLY INTERVENTION,176, , , , , , , , , , , , , ,176
43,MARTIN,9073,MARTIN COUNTY GIRLS ACADEMY, , , , , , , , , ,2,8,8,2, ,20
44,MONROE,0041,CORAL SHORES HIGH SCHOOL, , , , , , , , , , ,204,205,160,164,733
44,MONROE,0101,KEY WEST HIGH SCHOOL, , , , , , , , , , ,330,348,268,247,"1,193"
44,MONROE,0106,KEYS CENTER, , , , , , , , , , , ,3,7,1,11
44,MONROE,0111,HORACE O'BRYANT SCHOOL,103,68,56,65,57,58,56,207,177,212, , , , ,"1,059"
44,MONROE,0131,MARATHON SCHOOL, , , , , , , ,87,85,90,134,108,87,75,666
44,MONROE,0151,ACADEMIC CONNECTIONS FOR EXCEL, , , , , , , , ,4,3, ,3,1, ,11
44,MONROE,0161,POINCIANA ELEMENTARY SCHOOL,47,102,95,107,95,106,111, , , , , , , ,663
44,MONROE,0201,SUGARLOAF SCHOOL,24,43,50,54,48,54,64,68,63,58, , , , ,526
44,MONROE,0251,STANLEY SWITLIK ELEM. SCHOOL,58,83,89,91,71,89,85, , , , , , , ,566
44,MONROE,0291,KEY LARGO SCHOOL,53,76,84,98,92,98,85,86,86,89, , , , ,847
44,MONROE,0294,MONROE JUVENILE DETENTION CENT,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
44,MONROE,0295,HURRICANE ISLAND OUTWARD BOUND, , , , , , , ,2,1,2,2,2,2,1,12
44,MONROE,0311,GERALD ADAMS ELEMENTARY SCHOOL,83,107,91,80,64,70,49, , , , , , , ,544
44,MONROE,0321,PLANTATION KEY SCHOOL,2,35,35,41,42,38,54,52,65,71, , , , ,435
44,MONROE,0341,SIGSBEE CHARTER SCHOOL, ,44,66,66,76,52,50,49,44,31, , , , ,478
44,MONROE,0351,KEY WEST MONTESSORI CHARTER SC, ,18,20,19,19,18,16,13,13,13, , , , ,149
44,MONROE,0371,TREASURE VILLAGE MONTESSORI CH,20,23,24,19,24,25,21,19,22,16, , , , ,213
44,MONROE,0381,OCEAN STUDIES CHARTER, ,18,25,20,22,11,8, , , , , , , ,104
44,MONROE,0382,KEY WEST COLLEGIATE SCHOOL, , , , , , , , , , ,23,18,22,14,77
44,MONROE,0391,BIG PINE ACADEMY,39,22,28,27,13,18,11,6,9,4, , , , ,177
44,MONROE,7004,MONROE VIRTUAL FRANCHISE,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
44,MONROE,7023,MONROE VIRTUAL INSTRUCTION(DIS,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
45,NASSAU,0031,FERNANDINA BEACH MIDDLE SCHOOL, , , , , , , ,202,199,230, , , , ,631
45,NASSAU,0071,SOUTHSIDE ELEMENTARY SCHOOL,27,167,157,189, , , , , , , , , , ,540
45,NASSAU,0081,EMMA LOVE HARDEE ELEMENTARY, ,1,2, ,178,226,198, , , , , , , ,605
45,NASSAU,0102,YULEE ELEMENTARY SCHOOL, , , , ,268,288,268, , , , , , , ,824
45,NASSAU,0121,CALLAHAN ELEMENTARY SCHOOL,16,194,177,181, , , , , , , , , , ,568
45,NASSAU,0131,CALLAHAN MIDDLE SCHOOL, , , , , , , ,237,273,291, , , , ,801
45,NASSAU,0151,HILLIARD MIDDLE-SENIOR HIGH, , , , , , , ,109,92,116,105,117,106,116,761
45,NASSAU,0181,BRYCEVILLE ELEMENTARY SCHOOL, ,26,42,35,30,34,26, , , , , , , ,193
45,NASSAU,0191,WEST NASSAU COUNTY HIGH SCHOOL,2, , , , , , , , , ,277,253,254,233,"1,019"
45,NASSAU,0221,YULEE MIDDLE SCHOOL, , , , , , , ,286,297,304,1, , , ,888
45,NASSAU,0231,YULEE HIGH SCHOOL,2, , , , , , , , , ,299,323,256,277,"1,157"
45,NASSAU,0241,HILLIARD ELEMENTARY SCHOOL,12,121,136,112,120,118,112, , , , , , , ,731
45,NASSAU,0261,CALLAHAN INTERMEDIATE SCHOOL, , , , ,199,188,209, , , , , , , ,596
45,NASSAU,0271,YULEE PRIMARY SCHOOL,27,284,338,270, , , , , , , , , , ,919
45,NASSAU,0291,FERNANDINA BEACH HIGH SCHOOL,1,3, ,1, ,1, , , ,1,235,242,217,217,918
45,NASSAU,7001,NASSAU VIRTUAL INSTRUCTION PRO, , ,1,1,2,2,1,1,1,3,1, , , ,13
46,OKALOOSA,0031,ANNETTE P. EDWINS ELEM. SCHOOL,29,86,69,82,63,64,66, , , , , , , ,459
46,OKALOOSA,0041,BAKER SCHOOL,1,103,90,109,117,107,103,100,95,110,123,112,109,110,"1,389"
46,OKALOOSA,0051,BOB SIKES ELEMENTARY SCHOOL,1,116,149,138,139,117,116, , , , , , , ,776
46,OKALOOSA,0082,CLIFFORD MEIGS MIDDLE SCHOOL, , , , , , , ,182,187,178, , , , ,547
46,OKALOOSA,0092,SHOAL RIVER MIDDLE SCHOOL, , , , , , , ,274,290,270, , , , ,834
46,OKALOOSA,0121,C. W. RUCKEL MIDDLE SCHOOL, , , , , , , ,309,312,337, , , , ,958
46,OKALOOSA,0131,DESTIN ELEMENTARY SCHOOL,14,180,162,177,151,168, , , , , , , , ,852
46,OKALOOSA,0151,LULA J. EDGE ELEMENTARY SCHOOL,9,92,99,113,111,87,89, , , , , , , ,600
46,OKALOOSA,0161,EGLIN ELEMENTARY SCHOOL, ,94,118,86,94,59, , , , , , , , ,451
46,OKALOOSA,0201,LAUREL HILL SCHOOL,17,28,27,23,37,25,30,32,34,32,27,31,26,30,399
46,OKALOOSA,0211,NICEVILLE SENIOR HIGH SCHOOL, , , , , , , , , , ,546,522,455,453,"1,976"
46,OKALOOSA,0222,NORTHWOOD ELEMENTARY SCHOOL,1,169,156,105,139,115,136, , , , , , , ,821
46,OKALOOSA,0241,SILVER SANDS-EXCEP. CHILDREN,3,11,5,7,6,8,9,8,7,6,10,4,8,46,138
46,OKALOOSA,0251,RIVERSIDE ELEMENTARY SCHOOL,1,138,153,152,144,140,138, , , , , , , ,866
46,OKALOOSA,0271,W. C. PRYOR MIDDLE SCHOOL, , , , , , , ,198,195,208, , , , ,601
46,OKALOOSA,0281,WRIGHT ELEMENTARY SCHOOL,15,122,112,124,117,80,94, , , , , , , ,664
46,OKALOOSA,0431,SHALIMAR ELEMENTARY SCHOOL,1,123,121,112,118,110,83, , , , , , , ,668
46,OKALOOSA,0541,ELLIOTT POINT ELEMENTARY SCHL, ,122,117,91,104,89,84, , , , , , , ,607
46,OKALOOSA,0561,MARY ESTHER ELEMENTARY SCHOOL,11,103,100,93,105,87,87, , , , , , , ,586
46,OKALOOSA,0571,JAMES E PLEW ELEMENTARY SCHL,10,117,119,118,118,128,111, , , , , , , ,721
46,OKALOOSA,0581,CHOCTAWHATCHEE SENIOR HIGH SCH, , , , , , , , , , ,468,432,329,405,"1,634"
46,OKALOOSA,0601,CRESTVIEW HIGH SCHOOL, , , , , , , , , , ,585,486,419,407,"1,897"
46,OKALOOSA,0621,KENWOOD ELEMENTARY SCHOOL,13,98,124,98,104,85,83, , , , , , , ,605
46,OKALOOSA,0631,FLOROSA ELEMENTARY SCHOOL,18,104,96,111,95,86,81, , , , , , , ,591
46,OKALOOSA,0641,FT. WALTON BEACH HIGH SCHOOL, , , , , , , , , , ,408,430,403,406,"1,647"
46,OKALOOSA,0651,MAX BRUNER JUNIOR MIDDLE SCHL, , , , , , , ,243,255,278, , , , ,776
46,OKALOOSA,0671,ADDIE R. LEWIS SCHOOL, ,54,41,40,41,45,101,102,101,86, , , , ,611
46,OKALOOSA,0681,LONGWOOD ELEMENTARY SCHOOL,36,131,109,114,103,94,88, , , , , , , ,675
